price_in_rp,title,district,city,facilities,property_type,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,building_age,year_built,property_condition,building_orientation,garages,furnishing,price_in_rp_bin,price_in_rp_bin_enc,building_size_m2_bin,building_size_m2_bin_enc,Target
-0.9119561876852503,1015,246,0,755,0,0.28641521086925475,-1.1180339887498951,0.7774400908765742,0.42330401083130503,-2.0302234011860785,2,4,-0.4877686086797539,-0.5025707110324167,0.5356933085673383,-0.44402237354168095,0.4440223735417232,2,0,-0.7333772967185263,2,Rendah,0,Sedang,2,2
0.4331295551737592,896,246,0,922,0,-1.0104586321350097,-0.05261336417646587,1.0421546290592096,0.20289668467498953,-0.3502769091717185,2,14,-0.4877686086797539,-0.5025707110324167,0.5356933085673383,3.0743723037614212,-3.074372303761379,0,7,0.5932530985862023,1,Rendah,0,Sedang,2,3
-0.6545408568416125,1040,246,0,673,0,-1.0104586321350097,-1.1180339887498951,-0.8402598646839758,-1.0460781635441316,-0.3502769091717185,2,4,-0.4877686086797539,-0.5025707110324167,-1.1846609731312947,-0.44402237354168095,0.4440223735417232,2,3,-0.7333772967185263,2,Rendah,0,Rendah,0,2
-0.785061306283457,1061,30,0,512,0,-1.0104586321350097,-1.1180339887498951,-0.6931962323602895,-0.935874500465974,-0.3502769091717185,2,4,-0.4877686086797539,-0.5025707110324167,-1.1846609731312947,-0.44402237354168095,0.4440223735417232,2,5,-0.7333772967185263,1,Rendah,0,Rendah,0,2
-0.13245905907423405,474,30,0,558,0,0.28641521086925475,-0.05261336417646587,1.0715673555239469,0.05595846723744586,1.3296695828426413,2,9,-0.4877686086797539,-0.5025707110324167,0.5356933085673383,-0.44402237354168095,0.4440223735417232,2,0,-0.7333772967185263,1,Rendah,0,Sedang,2,0
-0.799563578443662,530,30,0,990,0,-1.0104586321350097,-1.1180339887498951,-0.3990689677129168,-0.8624053917472021,-0.3502769091717185,2,4,-0.4877686086797539,-0.5025707110324167,-1.1846609731312947,-0.44402237354168095,0.4440223735417232,2,5,0.5932530985862023,1,Rendah,0,Rendah,0,2
-0.27820689428429385,411,30,0,1011,0,4.177036739882048,-0.05261336417646587,1.2774564407771078,1.8926861852067418,-0.3502769091717185,2,14,1.9815599727615003,1.9897697538834456,0.5356933085673383,1.31517496510987,-1.315174965109828,0,3,0.5932530985862023,1,Rendah,0,Tinggi,3,1
0.08507502332884026,381,30,0,706,0,0.28641521086925475,-0.05261336417646587,0.48331282622920146,0.900853217503322,-0.3502769091717185,2,4,1.9815599727615003,1.9897697538834456,0.5356933085673383,-0.44402237354168095,0.4440223735417232,0,5,0.5932530985862023,1,Rendah,0,Sedang,2,1
-0.3717465497176158,392,30,0,1003,0,0.28641521086925475,-1.1180339887498951,0.18918556158182873,-0.12771430455948374,-0.3502769091717185,2,9,-0.4877686086797539,-0.5025707110324167,0.5356933085673383,-0.44402237354168095,0.4440223735417232,2,3,-0.7333772967185263,2,Rendah,0,Rendah,0,0
-0.8031891464837132,1087,30,0,132,0,-1.0104586321350097,-1.1180339887498951,-0.6931962323602895,-0.935874500465974,-0.3502769091717185,2,23,-0.4877686086797539,-0.5025707110324167,-1.1846609731312947,-0.44402237354168095,0.4440223735417232,2,3,0.5932530985862023,1,Rendah,0,Rendah,0,2
-0.785061306283457,760,30,0,1009,0,-1.0104586321350097,-0.05261336417646587,-0.3990689677129168,-0.31138707635641333,-0.3502769091717185,2,4,-0.4877686086797539,-0.5025707110324167,-1.1846609731312947,1.31517496510987,-1.315174965109828,0,5,0.5932530985862023,1,Rendah,0,Rendah,0,3
-0.6436641527214587,1124,30,0,192,0,-1.0104586321350097,-1.1180339887498951,0.07153465572287963,-0.7705690058487373,-0.3502769091717185,2,4,-0.4877686086797539,-0.5025707110324167,-1.1846609731312947,-0.44402237354168095,0.4440223735417232,2,2,0.5932530985862023,1,Rendah,0,Rendah,0,2
0.08507502332884026,445,30,0,135,0,1.5832890538735194,1.0128072603969633,0.48331282622920146,0.900853217503322,1.3296695828426413,2,9,1.9815599727615003,1.9897697538834456,0.5356933085673383,-0.44402237354168095,0.4440223735417232,2,3,1.919883493890931,1,Rendah,0,Sedang,2,1
-0.785061306283457,993,237,0,289,0,-1.0104586321350097,-1.1180339887498951,-0.6931962323602895,-0.935874500465974,-0.3502769091717185,2,4,-0.4877686086797539,-0.5025707110324167,-1.1846609731312947,-0.44402237354168095,0.4440223735417232,2,3,0.5932530985862023,2,Rendah,0,Rendah,0,2
